"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"479","Brayden McNabb","L.A, VGK","D","206","3793.65","9","24","8","16","33","22.60","226","3.98","9.46","545","342","117","17","11","32","198","77","64","12","1","41","128","59","541","337","325","0","0","-"
"555","Jordan Weal","L.A, PHI","C","106","1353.7666666667","16","17","11","6","33","63.46","155","10.32","18.19","264","223","168","84","2","19","24","11","11","0","0","12","25","38","29","129","35","100","112","47.17"
"994","Jakub Vrana","WSH","L","94","1145.6833333333","16","17","11","6","33","68.75","165","9.70","19.13","265","225","190","97","11","19","14","7","7","0","0","18","46","32","37","43","23","13","15","46.43"
"1101","Evan Rodrigues","BUF","L","80","1079.85","12","21","9","12","33","78.57","150","8.00","10","272","214","105","31","5","14","18","9","9","0","0","22","21","32","34","61","35","260","358","42.07"
"58","Matt Hendricks","EDM, WPG","C, L","170","1917.0666666667","14","18","11","7","32","65.31","160","8.75","12.21","266","210","125","64","13","12","150","50","35","14","1","39","41","40","377","199","149","609","534","53.28"
"238","Vladimir Sobotka","STL","L","82","1403.75","12","20","14","6","32","69.57","138","8.70","12","233","174","122","45","8","10","50","23","23","0","0","20","14","22","127","127","45","197","167","54.12"
"275","Ryan White","ARI, MIN, PHI","C","138","1609.9333333333","20","12","6","6","32","62.75","149","13.42","12.88","276","204","128","54","10","17","185","51","35","9","7","31","31","25","395","174","84","223","219","50.45"
"344","Brendan Smith","DET, NYR","D","158","2845.7","7","25","16","9","32","27.59","210","3.33","11.06","434","294","107","32","7","26","189","80","72","7","1","58","118","44","211","262","144","0","0","-"
"658","Dylan DeMelo","S.J","D","133","1905.1","3","29","16","13","32","41.03","141","2.13","6.35","307","209","65","13","2","18","62","31","31","0","0","24","50","25","150","268","137","0","0","-"
"945","Nikita Zadorov","COL","D","155","2937.3333333333","7","25","14","11","32","31.68","173","4.05","8.02","438","278","99","9","6","19","188","81","74","6","1","36","71","31","484","144","191","0","0","-"
"1113","Denis Malgin","FLA","C","98","1234.7","17","15","7","8","32","55.17","146","11.64","13.1","243","189","136","52","6","14","14","7","7","0","0","24","32","48","82","89","39","119","187","38.89"
"1137","Charlie McAvoy","BOS","D","63","1395.2833333333","7","25","10","15","32","40.51","77","9.09","4.48","187","122","52","9","4","15","53","25","24","1","0","13","44","22","133","163","80","0","0","-"
"190","Alexei Emelin","MTL, NSH","D","224","4379.2833333333","3","28","11","17","31","23.66","212","1.42","7.57","530","334","99","12","9","24","182","80","75","4","1","40","198","51","678","544","349","1","0","100.00"
"383","Luke Schenn","ARI, L.A, PHI","D","214","3721.55","6","25","6","19","31","27.43","229","2.62","7.13","571","345","99","8","8","40","202","63","45","14","4","38","115","36","739","317","345","1","1","50.00"
"455","Kyle Clifford","L.A","L","179","1833.85","15","16","11","5","31","70.45","271","5.54","22.47","449","369","243","113","13","30","195","58","35","21","2","48","19","30","384","282","26","6","15","28.57"
"571","Beau Bennett","N.J, PIT, STL","R","104","1338.6333333333","14","17","8","9","31","64.58","159","8.81","13.95","292","225","138","53","10","10","30","15","15","0","0","10","26","26","151","116","20","6","19","24.00"
"682","Logan Shaw","ANA, FLA, MTL","C, R","180","2037.9833333333","12","19","10","9","31","54.39","236","5.08","21.75","401","326","212","99","21","24","35","15","14","1","0","25","33","55","260","141","84","163","222","42.34"
"813","Adam Pelech","NYI","D","131","2402.3","6","25","9","16","31","30.69","154","3.90","6.23","334","217","64","15","8","10","34","17","17","0","0","11","82","50","189","208","226","0","0","-"
"959","Josh Jooris","ARI, CAR, CGY, NYR, PIT","R","153","1774.2","11","20","7","13","31","65.96","205","5.37","14.08","329","257","176","71","13","23","69","32","31","1","0","35","22","36","162","158","74","411","459","47.24"
"834","Cedric Paquette","T.B","C","170","1953.0833333333","15","15","7","8","30","62.50","182","8.24","18.29","341","256","207","89","7","19","172","61","50","8","3","66","27","41","393","267","109","575","641","47.29"
"835","Erik Gustafsson","CHI","D","76","1282.8666666667","5","25","13","12","30","40.54","129","3.88","5.13","261","178","51","6","1","10","10","5","5","0","0","4","35","21","59","134","82","0","1","0.00"
"1120","Markus Nutivaara","CBJ","D","127","1849.4","9","21","11","10","30","39.47","145","6.21","6.9","290","203","78","17","1","15","20","10","10","0","0","7","39","18","78","118","78","0","0","-"
"1169","Nolan Patrick","PHI","C","73","1001.9166666667","13","17","11","6","30","68.18","127","10.24","13.75","205","167","138","68","5","16","30","14","14","0","0","17","33","32","48","56","19","376","367","50.61"
"130","Eric Fehr","PIT, S.J, TOR","C","126","1509.3166666667","17","12","5","7","29","52.73","163","10.43","18.41","261","211","165","85","10","15","35","16","15","1","0","16","25","60","166","103","94","252","283","47.10"
"148","Kyle Quincey","CBJ, DET, MIN, N.J","D","138","2492.1","10","19","5","14","29","33.33","152","6.58","7.87","294","187","76","13","5","16","115","52","50","1","1","21","80","33","167","162","177","0","0","-"
"242","Chris VandeVelde","PHI","C","160","2007.05","8","21","8","13","29","69.05","146","5.48","14.29","249","197","148","78","6","22","43","20","19","1","0","24","30","35","253","293","120","28","35","44.44"
"268","Derek Dorsett","VAN","R","105","1338.6","13","16","9","7","29","70.73","141","9.22","12.35","219","188","119","60","7","10","284","74","46","18","10","65","17","17","201","121","64","4","10","28.57"
"349","Dwight King","L.A, MTL","L","127","1831.0833333333","16","13","7","6","29","54.72","158","10.13","14.84","270","223","152","87","11","16","36","15","13","2","0","5","24","20","193","161","34","6","17","26.09"
"420","Derek Grant","ANA, BUF, CGY, NSH","C","127","1344.6166666667","12","17","8","9","29","74.36","127","9.45","14.45","214","183","134","80","17","10","37","14","11","3","0","9","23","31","115","98","79","579","513","53.02"
"422","Greg Pateryn","DAL, MTL","D","147","2623.6166666667","3","26","14","12","29","32.22","174","1.72","5.97","391","257","74","9","4","15","109","39","32","5","2","19","91","21","324","257","266","0","0","-"
"583","Chris Wagner","ANA, COL, NYI","C, R","165","1845","17","12","8","4","29","72.50","188","9.04","17.51","333","267","178","96","17","18","71","27","23","3","1","31","45","23","460","211","100","440","452","49.33"
"795","Derrick Pouliot","PIT, VAN","D","104","1771.1666666667","3","26","11","15","29","39.73","114","2.63","6.33","265","174","67","10","2","15","45","16","14","1","1","9","76","33","109","131","144","0","0","-"
"939","Valeri Nichushkin","DAL","R","79","1100.3666666667","9","20","10","10","29","59.18","139","6.47","14.83","247","197","160","80","11","14","12","6","6","0","0","12","46","33","68","101","33","0","1","0.00"
"27","Brad Richards","DET","C","68","1006.0166666667","10","18","14","4","28","54.90","164","6.10","12.27","307","220","131","35","10","10","8","4","4","0","0","2","22","15","16","37","12","124","126","49.60"
"151","John Mitchell","COL","C","136","1898.45","13","15","5","10","28","60.87","158","8.23","15.58","292","216","158","70","8","15","97","39","36","1","2","18","34","62","173","102","110","713","674","51.41"
"477","Jacob Josefson","BUF, N.J","C","135","1809.3666666667","7","21","7","14","28","51.85","165","4.24","16.29","293","240","172","70","10","21","42","21","21","0","0","21","35","33","124","174","85","626","674","48.15"
"502","Nicolas Deslauriers","BUF, MTL","L","170","1706.95","16","12","6","6","28","63.64","175","9.14","14.64","309","241","173","87","13","9","152","39","21","14","4","38","14","30","553","161","65","4","6","40.00"
"506","Andrej Nestrasil","CAR","C","74","996.46666666667","10","18","12","6","28","65.12","132","7.58","14.34","237","182","115","57","5","22","10","5","5","0","0","6","24","40","37","83","19","11","24","31.43"
"523","Nick Jensen","DET","D","130","2186.7333333333","4","24","12","12","28","36.84","166","2.41","6.86","318","218","70","16","8","15","39","18","17","1","0","18","91","35","126","279","144","0","0","-"
"552","Stephen Johns","DAL","D","150","2679.05","13","15","3","12","28","31.46","225","5.78","7.98","480","325","103","14","17","17","83","33","28","5","0","18","100","51","415","202","306","0","0","-"
"910","J.T. Compher","COL","L","90","1417.5","16","12","8","4","28","50.00","161","9.94","15.72","290","219","175","70","9","14","24","12","12","0","0","17","21","22","56","89","86","351","418","45.64"
"1141","Jesse Puljujarvi","EDM","R","93","1184.0166666667","13","15","14","1","28","57.14","177","7.34","15.51","301","241","157","67","10","19","24","12","12","0","0","7","50","39","78","97","33","0","4","0.00"
"153","Marc Methot","DAL, OTT","D","173","3416.9666666667","6","21","8","13","27","18.75","168","3.57","5.5","306","219","75","14","5","10","89","43","42","1","0","18","98","22","365","172","219","0","0","-"
"250","Ryan Reaves","PIT, STL, VGK","R","223","1824.6833333333","14","13","7","6","27","52.94","131","10.69","15.56","239","188","150","83","7","16","266","70","43","18","9","53","21","31","681","212","63","15","20","42.86"
"522","Marcus Kruger","CAR, CHI","C","159","2055.9833333333","6","21","11","10","27","50.00","163","3.68","14.93","266","219","145","79","11","13","86","38","37","0","1","26","25","44","112","240","109","749","739","50.34"
"681","Blake Coleman","N.J","C","102","1432.6","14","13","11","2","27","57.45","175","8.00","17.32","291","237","173","86","14","10","77","34","31","3","0","30","33","80","267","143","72","348","415","45.61"
"60","John-Michael Liles","BOS, CAR","D","117","2228.1333333333","6","20","11","9","26","33.33","147","4.08","6.92","318","205","87","15","9","20","22","11","11","0","0","15","52","37","106","170","168","2","0","100.00"
"87","Vernon Fiddler","DAL, N.J, NSH","C, L","141","1641.9833333333","14","12","5","7","26","57.78","146","9.59","14.49","276","225","139","57","14","22","97","35","30","3","2","40","36","36","99","155","72","825","761","52.02"
"207","Adam Cracknell","DAL, EDM, NYR, VAN","R","126","1396.3166666667","15","11","7","4","26","61.90","161","9.32","14.17","298","225","152","71","12","16","32","15","15","0","0","29","32","45","227","116","63","294","402","42.24"
"209","Rene Bourque","CBJ, COL","R","114","1418.0833333333","15","11","4","7","26","57.78","189","7.94","16.41","325","261","161","85","6","16","94","36","32","2","2","20","20","40","157","88","45","3","11","21.43"
"526","Nic Dowd","L.A, VAN","C","131","1514.8","9","17","11","6","26","57.78","132","6.82","14.78","241","189","154","66","13","12","55","26","25","1","0","13","40","38","232","191","65","558","579","49.08"
"559","Patrik Nemeth","COL, DAL","D","146","2575.7166666667","3","23","9","14","26","24.76","155","1.94","6.95","317","219","77","14","6","14","69","32","31","1","0","17","62","29","169","267","279","0","3","0.00"
"638","Brian Gibbons","N.J","L","59","851.4","12","14","11","3","26","72.22","72","16.67","7","110","90","65","35","4","5","20","10","10","0","0","11","10","35","35","61","58","22","29","43.14"
"649","Nikita Nesterov","MTL, T.B","D","105","1630.3833333333","7","19","13","6","26","41.27","120","5.83","6.1","287","177","73","13","0","14","65","27","25","1","1","14","54","14","179","127","52","0","0","-"
"695","Mike Reilly","MIN, MTL","D","103","1413.75","4","22","11","11","26","44.07","111","3.60","5.23","223","155","50","10","3","11","36","18","18","0","0","6","48","10","46","102","68","0","0","-"
"733","Jamie Oleksiak","DAL, PIT","D","128","2039.15","10","16","5","11","26","32.50","127","7.87","5.97","265","184","58","12","2","13","145","48","34","13","1","33","81","36","279","165","158","0","0","-"
"845","Joseph Blandisi","ANA, N.J","C, L","71","1035.45","8","18","13","5","26","57.78","71","11.27","8.73","135","108","82","47","2","9","62","28","26","2","0","19","12","27","78","81","21","87","115","43.07"
"90","Tomas Fleischmann","CHI, MTL","L","76","1156.2333333333","14","11","8","3","25","62.50","123","11.38","11.54","213","161","111","47","11","16","32","16","16","0","0","13","16","38","40","80","19","24","19","55.81"
"154","Nate Thompson","ANA, L.A, OTT","C","148","1760.6","9","16","9","7","25","58.14","114","7.89","11.37","218","159","112","45","9","10","81","28","23","3","2","15","34","34","294","131","88","725","609","54.35"
"199","Mikhail Grabovski","NYI","C","58","817.98333333333","9","16","7","9","25","67.57","83","10.84","10.83","158","124","109","57","3","12","33","11","9","1","1","13","34","28","28","95","26","221","242","47.73"
"311","Ben Lovejoy","N.J, PIT","D","205","3894.3333333333","7","18","7","11","25","20.49","248","2.82","8.52","462","343","77","13","11","20","94","44","42","2","0","16","85","60","320","389","340","0","0","-"
"786","Mark Jankowski","CGY","C","73","971.93333333333","17","8","4","4","25","71.43","118","14.41","14.25","211","172","135","68","8","17","33","15","14","1","0","15","20","34","36","50","51","400","418","48.90"
"804","Brendan Leipsic","TOR, VAN, VGK","L","64","847.3","6","19","15","4","25","67.57","106","5.66","8.66","188","137","99","36","7","8","16","8","8","0","0","10","34","42","44","66","28","10","7","58.82"
"819","Martin Frk","CAR, DET","R","70","716.2","11","14","8","6","25","69.44","101","10.89","9.57","192","145","71","24","1","15","14","7","7","0","0","6","22","9","80","30","11","0","2","0.00"
"968","Christian Folin","L.A, MIN","D","142","2158.4666666667","5","20","11","9","25","31.25","111","4.50","2.69","243","157","32","2","2","20","67","29","26","3","0","19","59","21","274","274","195","0","0","-"
"1012","Ivan Barbashev","STL","C","83","1000.2","12","13","7","6","25","71.43","65","18.46","8.53","144","108","97","48","1","7","6","3","3","0","0","10","15","30","104","87","39","144","222","39.34"
"1085","Thomas Chabot","OTT","D","64","1110.3333333333","9","16","9","7","25","46.30","95","9.47","4.26","183","117","49","9","1","14","14","7","7","0","0","4","37","27","45","79","64","0","0","-"
"1183","Alex Iafallo","L.A","C","75","1132.7666666667","9","16","10","6","25","47.17","129","6.98","12.92","233","183","140","64","7","11","12","6","6","0","0","16","23","24","53","88","33","14","16","46.67"
"19","Dan Boyle","NYR","D","74","1392.2666666667","10","14","7","7","24","33.80","95","10.53","8.47","192","137","79","25","2","7","30","15","15","0","0","8","47","19","66","104","105","0","0","-"
"49","Brad Boyes","TOR","R","60","718.21666666667","8","16","9","7","24","63.16","85","9.41","11.58","169","126","93","43","10","18","12","6","6","0","0","7","19","25","20","66","17","9","5","64.29"
"352","Carl Gunnarsson","STL","D","191","3031.1","8","16","6","10","24","23.08","142","5.63","5.8","297","205","73","9","3","11","57","27","26","1","0","25","53","23","144","284","289","0","0","-"
"741","Joe Morrow","BOS, MTL, WPG","D","106","1725.95","7","17","6","11","24","37.50","146","4.79","4.96","301","206","56","7","3","19","38","19","19","0","0","11","63","23","136","136","121","0","0","-"
"761","Brad Hunt","EDM, NSH, STL, VGK","D","64","1022.3833333333","4","20","9","11","24","44.44","106","3.77","4.67","209","146","44","6","0","4","10","5","5","0","0","0","20","28","26","73","46","0","1","0.00"
"812","Jujhar Khaira","EDM","L","94","1124.7","12","12","6","6","24","66.67","97","12.37","10.63","206","147","127","57","6","6","62","22","16","6","0","15","38","33","177","124","50","181","222","44.91"
"823","Connor Carrick","TOR, WSH","D","133","2100.9833333333","8","16","8","8","24","25.00","165","4.85","7.77","412","257","101","14","9","14","93","38","34","3","1","17","84","30","146","292","151","0","0","-"
"902","Marko Dano","CHI, WPG","C","95","987.86666666667","11","13","4","9","24","72.73","120","9.17","12.42","207","174","139","66","7","11","26","13","13","0","0","21","29","31","171","101","36","4","8","33.33"
"925","Tyler Bertuzzi","DET","L","55","754.95","7","17","9","8","24","70.59","86","8.14","10.96","161","137","108","65","2","11","39","9","6","1","2","23","17","14","65","90","38","2","8","20.00"
"1060","Vince Dunn","STL","D","75","1292.3166666667","5","19","6","13","24","36.36","138","3.62","5.81","284","176","67","9","5","17","20","10","10","0","0","8","38","29","29","93","59","1","0","100.00"
"73","Chris Thorburn","STL, WPG","R","196","1628.3333333333","10","13","10","3","23","51.11","141","7.09","11.78","232","182","134","70","9","9","236","68","38","28","2","49","28","20","335","144","73","88","72","55.00"
"210","Cody McLeod","COL, NSH, NYR","L","189","1641.4","14","9","3","6","23","52.27","139","10.07","12.74","202","174","119","77","8","12","394","98","46","44","8","79","10","12","521","143","61","1","1","50.00"
"218","Jack Skille","COL, VAN","R","129","1137.55","13","10","10","0","23","69.70","179","7.26","14.19","297","245","158","67","15","15","23","10","9","1","0","16","17","31","171","128","49","6","15","28.57"
"232","Adam McQuaid","BOS","D","179","3156.2833333333","4","19","7","12","23","20.91","145","2.76","4.48","318","206","51","2","5","13","222","74","55","16","3","44","64","24","379","269","321","0","0","-"
"414","Lance Bouma","CGY, CHI","C, L","158","1786.1666666667","8","15","8","7","23","44.23","158","5.06","17.53","261","216","175","105","16","17","102","34","26","6","2","46","27","28","369","179","113","23","35","39.66"
"436","Matt Bartkowski","CGY, VAN","D","122","2099.05","7","16","6","10","23","33.33","122","5.74","5.3","284","176","68","7","3","7","80","33","30","2","1","11","80","24","218","106","67","0","0","-"
"889","Anton Slepyshev","EDM","L","102","1141.8166666667","10","13","9","4","23","65.71","133","7.52","12.07","266","188","139","57","10","16","14","7","7","0","0","14","34","46","138","129","34","4","9","30.77"
"997","Sonny Milano","CBJ","L","62","727.23333333333","14","9","5","4","23","74.19","73","19.18","8.19","133","110","76","33","1","12","10","5","5","0","0","9","22","16","35","87","15","0","0","-"
"1092","Joel Eriksson Ek","MIN","C","90","1117.5666666667","9","14","6","8","23","63.89","139","6.47","10.69","216","177","108","52","6","15","26","13","13","0","0","15","13","20","157","125","54","246","335","42.34"
"1144","Tyson Jost","COL","C","71","1045.25","13","10","6","4","23","46.94","122","10.66","11.46","209","154","132","60","9","14","26","12","12","0","0","22","11","25","36","102","29","112","187","37.46"
"1146","Samuel Girard","COL, NSH","D","73","1288.3166666667","4","19","9","10","23","37.10","84","4.76","3.71","171","120","28","2","2","10","8","4","4","0","0","17","31","13","46","89","69","0","0","-"
"372","Micheal Haley","FLA, S.J","C","149","1230.2","6","16","9","7","22","59.46","103","5.83","10.44","184","149","112","55","6","15","388","92","38","46","8","73","42","26","292","113","50","96","112","46.15"
"538","Matt Irwin","BOS, NSH","D","126","1905.2666666667","5","17","6","11","22","29.73","163","3.07","5.31","367","236","67","7","4","20","34","17","17","0","0","13","55","28","194","225","175","0","0","-"
"688","Alan Quine","NYI","C","84","1045.7333333333","6","16","8","8","22","48.89","102","5.88","8.7","168","129","101","51","7","8","12","6","6","0","0","5","26","23","112","63","41","320","359","47.13"
"700","Scott Mayfield","NYI","D","78","1294.85","5","17","7","10","22","40.74","101","4.95","3.97","233","145","49","6","0","18","91","34","28","5","1","20","51","13","126","88","124","0","0","-"
"844","Jake Dotchin","T.B","D","83","1436.2833333333","3","19","8","11","22","31.88","98","3.06","3.84","228","158","39","4","6","14","73","32","29","3","0","27","56","8","180","99","80","0","0","-"
"1000","Anthony DeAngelo","ARI, NYR","D","71","1196.5666666667","5","17","10","7","22","44.00","128","3.91","5.74","218","164","53","10","4","11","48","13","9","2","2","10","51","10","62","57","90","1","0","100.00"
"1008","Joshua Ho-Sang","NYI","C, R","43","659.73333333333","6","16","11","5","22","62.86","40","15.00","3.48","79","58","40","13","1","4","14","6","6","0","0","15","43","19","7","75","3","2","5","28.57"
"1074","Brandon Carlo","BOS","D","158","3168.9166666667","6","16","7","9","22","16.18","164","3.66","6.43","323","233","65","17","6","19","104","49","47","2","0","12","87","47","176","347","199","1","0","100.00"
"1099","Tanner Kero","CHI","C","72","934.31666666667","8","14","9","5","22","53.66","93","8.60","10.5","152","122","91","47","11","12","10","5","5","0","0","16","16","25","63","89","68","299","371","44.63"
"1132","Brandon Tanev","WPG","L","115","1352.9833333333","10","12","3","9","22","57.89","137","7.30","11.29","228","185","128","63","11","12","46","16","13","2","1","37","23","39","323","175","89","4","8","33.33"
"377","Jason Garrison","T.B, VGK","D","150","2781.4","6","15","9","6","21","24.14","202","2.97","7.37","408","306","61","9","5","14","36","18","18","0","0","6","85","26","188","203","219","0","0","-"
"524","Jordan Nolan","BUF, L.A","C","167","1638.05","8","13","7","6","21","61.76","138","5.80","12.22","280","207","137","60","5","11","151","54","43","9","2","40","33","19","263","157","32","3","8","27.27"
"616","Brandon Davidson","EDM, MTL, NYI","D","140","2434.1","8","13","6","7","21","25.93","168","4.76","5.93","380","247","66","8","8","22","63","26","24","1","1","11","109","39","221","325","242","0","0","-"
"652","Lukas Sedlak","CBJ","C","115","1101.05","11","10","3","7","21","46.67","107","10.28","13.51","210","166","138","77","4","11","46","20","18","2","0","24","20","28","143","126","54","423","391","51.97"
"685","Andy Andreoff","L.A","C, L","141","1331.5833333333","11","10","8","2","21","63.64","131","8.40","12.4","253","186","129","60","10","12","196","53","32","16","5","42","29","20","229","146","29","199","191","51.03"
"913","Remi Elie","DAL","L","90","1019.5333333333","7","14","9","5","21","60.00","85","8.24","9.26","171","128","101","50","6","12","26","13","13","0","0","18","38","32","131","109","31","6","9","40.00"
"916","Nic Petan","WPG","C, L","95","1020.2333333333","5","16","10","6","21","52.50","98","5.10","11.79","187","143","110","56","2","8","28","14","14","0","0","7","30","33","23","62","18","169","192","46.81"
"974","Garnet Hathaway","CGY","R","99","1086.3","5","16","12","4","21","51.22","101","4.95","11.08","179","145","114","64","11","7","163","49","34","11","4","48","23","29","260","128","63","12","21","36.36"
"979","Dennis Rasmussen","ANA, CHI","C","139","1447.95","9","12","5","7","21","46.67","138","6.52","10.98","213","169","122","60","9","11","24","12","12","0","0","20","28","41","128","204","84","343","404","45.92"
"115","Josh Gorges","BUF","D","177","3301.9666666667","3","17","6","11","20","22.73","112","2.68","3.76","254","169","55","7","8","14","139","57","51","5","1","28","41","23","355","284","329","0","1","0.00"
"355","Yannick Weber","NSH, VAN","D","165","2284.2","3","17","13","4","20","23.26","177","1.69","9.51","392","252","95","22","7","20","65","31","30","1","0","8","55","23","168","226","125","0","0","-"
"358","Robert Bortuzzo","STL","D","150","2131.85","7","13","5","8","20","25.64","168","4.17","8.17","339","239","100","22","8","24","108","44","38","6","0","18","39","14","291","256","200","0","0","-"
"588","Erik Gudbranson","FLA, VAN","D","146","2854.8333333333","5","15","10","5","20","25.64","166","3.01","5.92","373","246","73","6","4","25","102","35","26","8","1","35","79","20","342","294","198","0","0","-"
"659","Iiro Pakarinen","EDM","R","117","1209.5166666667","9","11","7","4","20","68.97","141","6.38","11.9","263","206","131","46","14","19","16","8","8","0","0","13","24","27","254","129","44","6","14","30.00"
"664","Fredrik Claesson","OTT","D","113","1723.8166666667","4","16","6","10","20","38.46","100","4.00","3.45","233","142","51","11","3","13","41","11","8","1","2","8","62","28","246","167","138","0","0","-"
"702","Adam Clendening","ARI, EDM, NYR, PIT","D","65","998.85","3","17","3","14","20","43.48","85","3.53","3.07","182","125","34","2","2","5","39","18","17","1","0","9","43","14","43","128","67","0","0","-"
"712","Xavier Ouellet","DET","D","116","1891.0333333333","3","17","9","8","20","30.30","150","2.00","5.53","289","212","61","9","1","15","59","21","17","3","1","13","37","18","114","122","133","0","2","0.00"
"767","Brian Flynn","MTL","C","107","1272.4","10","10","6","4","20","52.63","120","8.33","8.96","200","159","95","41","11","14","10","5","5","0","0","9","26","33","43","84","62","269","226","54.34"
"969","Jordan Oesterle","CHI, EDM","D","74","1530.3166666667","5","15","9","6","20","30.77","125","4.00","5.52","292","172","70","8","2","11","8","4","4","0","0","7","60","25","75","174","126","0","0","-"
"1193","Jan Rutta","CHI","D","57","1097.5","6","14","5","9","20","40.00","71","8.45","3.53","169","100","50","4","2","6","24","12","12","0","0","7","37","12","24","76","64","0","0","-"
"75","Jay McClement","CAR","C","142","1633.35","8","11","9","2","19","54.29","101","7.92","13.85","194","152","130","82","12","20","42","21","21","0","0","12","36","61","128","128","71","628","575","52.20"
"263","Alex Biega","VAN","D","131","1989.9","1","18","8","10","19","31.15","177","0.56","7.25","345","241","103","24","8","10","72","36","36","0","0","17","45","22","347","239","118","0","0","-"
"447","Jordan Schroeder","CBJ, MIN","C, L","84","763.66666666667","9","10","6","4","19","73.08","87","10.34","6.2","133","114","68","26","7","7","6","3","3","0","0","5","13","17","58","57","30","59","47","55.66"
"537","Nate Prosser","MIN, STL","D","150","1878.5333333333","5","14","7","7","19","30.65","67","7.46","2.3","171","114","26","3","3","10","70","29","25","4","0","22","43","19","124","243","221","0","0","-"
"646","Alexey Marchenko","DET, TOR","D","107","1805.85","3","16","6","10","19","31.67","76","3.95","3.67","187","127","44","7","3","8","22","11","11","0","0","12","55","12","69","133","159","0","0","-"
"684","Klas Dahlbeck","ARI, CAR","D","147","2254.2666666667","5","14","5","9","19","30.65","144","3.47","5.37","328","215","59","12","9","22","79","38","37","1","0","6","44","28","329","257","148","0","0","-"
"689","Josh Leivo","TOR","L","41","480.35","8","11","7","4","19","73.08","72","11.11","8.07","126","106","75","22","4","2","16","8","8","0","0","9","12","24","14","51","12","8","5","61.54"
"967","Ryan Carpenter","S.J, VGK","C","64","776.83333333333","11","8","4","4","19","57.58","105","10.48","9.63","157","137","95","50","7","13","15","6","5","1","0","7","20","18","92","92","19","234","241","49.26"
"1007","Nikolay Goldobin","S.J, VAN","R","61","728.51666666667","12","7","6","1","19","65.52","71","16.90","7.73","140","115","94","33","1","9","6","3","3","0","0","7","21","16","13","24","12","1","1","50.00"
"1103","Andreas Martinsen","CHI, COL, MTL","L","128","1361.1166666667","8","11","7","4","19","59.38","139","5.76","10.72","249","197","111","49","9","14","96","35","28","6","1","25","19","38","363","152","59","4","4","50.00"
"1107","Sergey Kalinin","N.J","C","121","1589.8833333333","10","9","5","4","19","51.35","108","9.26","11.84","178","148","110","66","3","8","48","20","18","2","0","25","27","32","199","122","50","206","290","41.53"
"20","Vincent Lecavalier","L.A, PHI","C","49","648.76666666667","10","8","6","2","18","69.23","67","14.93","5.49","113","91","64","25","2","4","22","11","11","0","0","4","14","13","62","31","22","297","288","50.77"
"121","Milan Michalek","OTT, TOR","L","50","796.68333333333","8","10","5","5","18","46.15","70","11.43","9.22","129","99","84","51","2","9","20","10","10","0","0","6","15","28","49","57","36","3","6","33.33"
"163","David Jones","CGY, MIN","R","75","932.93333333333","11","7","6","1","18","54.55","84","13.10","11.11","159","132","104","51","4","13","10","5","5","0","0","12","9","14","147","53","33","17","17","50.00"
"202","Mike Santorelli","ANA","C","70","706.48333333333","9","9","1","8","18","75.00","81","11.11","7.69","131","103","79","34","5","6","8","4","4","0","0","8","15","5","28","66","20","75","83","47.47"
"519","Curtis McKenzie","DAL","L","63","658.26666666667","6","12","7","5","18","66.67","80","7.50","8.45","143","114","84","48","7","12","81","23","13","9","1","28","12","16","115","52","33","3","4","42.86"
"642","Jyrki Jokipakka","CGY, DAL, OTT","D","99","1493.7833333333","3","15","7","8","18","32.14","74","4.05","2.47","158","98","31","2","4","10","26","13","13","0","0","11","60","20","100","160","98","0","0","-"
"713","Miikka Salomaki","NSH","R","124","1389.3333333333","7","11","6","5","18","51.43","115","6.09","11.88","237","178","126","54","7","16","64","32","32","0","0","28","20","32","292","163","74","7","8","46.67"
"757","Barclay Goodrow","S.J","R","64","689.25","7","11","5","6","18","56.25","67","10.45","6.66","120","98","63","36","4","8","44","16","12","4","0","14","14","24","79","101","35","158","110","58.96"
"778","Pontus Aberg","EDM, NSH","L","68","829.9","5","13","7","6","18","48.65","82","6.10","6.34","149","116","78","32","7","6","14","7","7","0","0","13","22","17","33","52","10","5","8","38.46"
"807","Chandler Stephenson","WSH","C","80","901.45","6","12","9","3","18","56.25","41","14.63","4.93","68","58","50","26","0","3","10","5","5","0","0","8","17","28","31","70","37","82","71","53.59"
"1032","Gustav Forsling","CHI","D","79","1348.5166666667","5","13","6","7","18","31.03","130","3.85","5.23","284","166","58","9","4","21","12","6","6","0","0","11","65","23","42","130","73","0","1","0.00"
"1156","Michal Kempny","CHI, WSH","D","103","1591.6833333333","5","13","7","6","18","25.00","149","3.36","5.18","341","217","67","5","9","14","48","24","24","0","0","10","67","15","133","140","141","0","0","-"
"32","Chris Neil","OTT","R","133","1145.1333333333","6","11","5","6","17","58.62","112","5.36","10.46","200","157","118","54","8","8","228","62","39","16","7","46","21","22","323","124","32","1","1","50.00"
"261","Stephen Gionta","N.J, NYI","R","108","1292.65","2","15","11","4","17","51.52","79","2.53","7.72","138","108","92","43","5","4","45","17","15","1","1","17","14","22","169","114","43","347","464","42.79"
