"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"515","Erik Haula","MIN, VGK","C, L","224","3282.2166666667","58","57","31","26","115","68.05","409","14.18","35.74","674","547","381","164","22","43","89","39","37","1","1","30","68","102","181","234","135","1309","1190","52.38"
"703","Boone Jenner","CBJ","C","239","3897.1833333333","61","54","33","21","115","67.25","623","9.79","64.33","1026","820","593","321","29","72","168","63","54","6","3","67","62","115","634","292","234","516","445","53.69"
"774","Morgan Rielly","TOR","D","234","5231.0166666667","21","94","47","47","115","44.92","520","4.04","25.87","1146","784","308","48","24","55","63","30","29","1","0","33","227","103","152","333","326","0","2","0.00"
"127","Brent Seabrook","CHI","D","241","5213.3","24","90","39","51","114","42.38","434","5.53","23.43","966","613","188","26","17","56","96","48","48","0","0","18","248","68","317","406","467","0","3","0.00"
"215","Bobby Ryan","OTT","R","205","3373.9","46","68","43","25","114","63.69","406","11.33","37.97","805","574","410","168","21","50","66","30","30","0","0","60","116","103","312","258","112","21","21","50.00"
"386","Mikkel Boedker","ARI, COL, S.J","L","235","3633.05","42","72","43","29","114","64.41","407","10.32","41.05","731","572","464","191","16","51","34","17","17","0","0","46","95","98","163","209","90","11","29","27.50"
"793","Tomas Hertl","S.J","C","209","3567.8","53","61","33","28","114","58.76","477","11.11","63.17","863","671","578","330","28","66","81","35","33","1","1","49","104","125","250","287","173","1088","999","52.13"
"1068","Sebastian Aho","CAR","R","160","2774.1333333333","53","61","36","25","114","72.15","414","12.80","45.47","752","576","434","194","25","51","50","25","25","0","0","42","110","99","116","215","31","95","112","45.89"
"176","Travis Zajac","N.J","C","217","4175.6166666667","40","73","42","31","113","54.85","328","12.20","38.41","533","436","357","180","14","32","83","37","34","3","0","32","45","135","210","231","105","2156","1942","52.61"
"418","TJ Brodie","CGY","D","225","5430.5333333333","16","97","37","60","113","45.93","275","5.82","16.43","665","417","185","47","10","37","60","30","30","0","0","42","235","152","69","184","318","0","0","-"
"331","Patrick Maroon","ANA, EDM, N.J","L","227","3467.65","56","56","32","24","112","57.73","423","13.24","53.88","715","590","470","276","19","49","256","87","63","22","2","73","116","65","490","313","47","34","58","36.96"
"745","Vladislav Namestnikov","NYR, T.B","C","235","3607.45","46","65","32","33","111","54.95","376","12.23","44.02","621","502","458","245","25","51","121","53","48","5","0","59","68","56","200","309","108","669","824","44.81"
"46","Scott Hartnell","CBJ, NSH","L","219","2917.0333333333","49","61","38","23","110","70.51","336","14.58","38.03","545","443","330","184","13","38","257","84","66","11","7","57","87","51","307","156","106","6","18","25.00"
"139","Loui Eriksson","BOS, VAN","L","197","3624.7166666667","51","59","37","22","110","62.15","417","12.23","43.12","628","519","399","236","25","31","24","12","12","0","0","29","52","110","40","198","90","18","18","50.00"
"364","Jake Muzzin","L.A","D","238","5321.3166666667","25","85","38","47","110","46.41","541","4.62","24.08","1188","787","278","31","21","60","150","70","69","0","1","25","197","45","529","513","380","0","0","-"
"777","Matt Dumba","MIN","D","239","4861.6666666667","35","75","40","35","110","40.74","459","7.63","26.75","989","657","222","43","10","38","138","59","54","4","1","44","139","53","315","264","239","2","0","100.00"
"143","Shea Weber","MTL, NSH","D","182","4593.2166666667","43","66","31","35","109","49.77","447","9.62","23.27","968","678","179","17","10","50","79","38","37","1","0","19","150","37","375","182","376","0","0","-"
"932","Jonathan Drouin","MTL, T.B","C, L","171","2951.0333333333","38","71","38","33","109","65.66","372","10.22","29.15","678","507","336","103","18","28","50","25","25","0","0","31","134","109","123","148","45","552","738","42.79"
"76","Tomas Plekanec","MTL, TOR","C","237","3996.9833333333","30","78","44","34","108","61.36","472","6.36","41.26","787","612","418","163","36","39","105","51","50","1","0","40","125","74","178","201","132","2155","2048","51.27"
"91","Rick Nash","BOS, NYR","L, R","198","3330.3666666667","59","49","32","17","108","62.07","609","9.69","61.86","1005","830","588","309","33","55","84","42","42","0","0","68","124","146","183","154","101","4","17","19.05"
"186","Alex Goligoski","ARI, DAL","D","242","5680.9833333333","23","85","44","41","108","41.22","358","6.42","16.21","812","512","197","40","11","43","88","43","43","0","0","29","196","49","351","307","456","0","0","-"
"92","Valtteri Filppula","PHI, T.B","C","236","4097.2166666667","31","75","46","29","106","61.63","269","11.52","29.32","434","356","283","122","17","22","92","46","46","0","0","34","113","96","81","260","119","1675","1653","50.33"
"169","Andrew Ladd","CHI, NYI, WPG","L","229","3896.4666666667","60","46","27","19","106","59.55","435","13.79","49.69","849","627","516","226","24","38","114","50","46","4","0","39","117","95","343","252","136","13","20","39.39"
"1024","Brayden Point","T.B","C","150","2773.7833333333","50","56","26","30","106","60.92","339","14.75","39.7","592","465","434","203","14","30","38","16","14","2","0","35","42","86","65","178","88","795","911","46.60"
"83","Jussi Jokinen","CBJ, EDM, FLA, L.A, VAN","L","210","3377.4666666667","34","71","41","30","105","65.22","344","9.88","31.43","585","459","310","115","18","33","93","41","39","1","1","37","122","76","92","128","105","311","282","52.45"
"185","Brandon Dubinsky","CBJ","C","217","3790.0666666667","35","70","50","20","105","64.42","362","9.67","40.04","643","483","396","201","24","41","195","72","60","9","3","62","75","108","628","168","147","2071","1853","52.78"
"361","Ryan McDonagh","NYR, T.B","D","213","4976.8666666667","19","86","51","35","105","38.32","365","5.21","21.26","783","527","258","41","15","44","79","38","37","1","0","41","187","120","249","253","461","1","0","100.00"
"563","Justin Faulk","CAR","D","215","4966.75","41","64","30","34","105","45.45","620","6.61","33.63","1299","870","318","61","25","91","107","51","50","1","0","38","153","161","354","225","239","0","1","0.00"
"694","Jean-Gabriel Pageau","OTT","C","242","3997.3833333333","45","60","32","28","105","65.22","449","10.02","45.38","711","600","406","232","33","52","86","39","38","0","1","62","105","85","458","349","208","1752","1576","52.64"
"178","Mike Green","DET","D","212","4616.3333333333","29","75","33","42","104","50.24","381","7.61","21.84","818","542","236","40","8","34","116","58","58","0","0","31","160","71","251","400","237","0","2","0.00"
"428","Jared Spurgeon","MIN","D","214","5070.05","30","74","36","38","104","38.24","376","7.98","22.2","754","539","185","52","9","46","42","21","21","0","0","28","64","65","164","297","424","0","1","0.00"
"803","Colton Parayko","STL","D","242","5102.9166666667","19","84","48","36","103","42.74","565","3.36","24.52","1128","779","233","41","26","66","74","34","32","2","0","45","103","125","302","460","380","0","0","-"
"182","Carl Soderberg","COL","C","239","3889.0333333333","34","68","44","24","102","66.67","441","7.71","41.33","735","593","397","205","20","49","80","40","40","0","0","55","59","103","132","225","177","1129","1231","47.84"
"225","Andrew Cogliano","ANA","C, L","244","3640.8833333333","37","65","38","27","102","72.34","485","7.63","45.51","827","648","425","188","35","48","95","45","44","1","0","39","101","69","280","188","85","49","57","46.23"
